author,title,date,style,genre,media,dimensions,tag,location,link,image
Nicolas Carone,Untitled (Four Figures),1951,Abstract Expressionism,abstract,N/A,N/A,N/A,N/A,https://uploads2.wikiart.org/images/nicolas-carone/untitled-four-figures-1951.jpg,untitled-four-figures-1951.jpg
Nicolas Carone,Untitled Abstract,1952,Abstract Expressionism,abstract,N/A,N/A,N/A,N/A,https://uploads7.wikiart.org/images/nicolas-carone/untitled-abstract-1952.jpg,untitled-abstract-1952.jpg
Nicolas Carone,Hyperbola,1954,Abstract Expressionism,abstract,N/A,N/A,N/A,N/A,https://uploads8.wikiart.org/images/nicolas-carone/hyperbola-1954.jpg,hyperbola-1954.jpg
Nicolas Carone,Untitled,1954,Abstract Expressionism,abstract,N/A,N/A,N/A,N/A,https://uploads7.wikiart.org/images/nicolas-carone/untitled-1954.jpg,untitled-1954.jpg
Nicolas Carone,Untitled,1955,Abstract Expressionism,abstract,N/A,N/A,N/A,N/A,https://uploads7.wikiart.org/images/nicolas-carone/untitled-1955.jpg,untitled-1955.jpg
Nicolas Carone,Escape Plan,1958,Abstract Expressionism,abstract,N/A,N/A,N/A,N/A,https://uploads1.wikiart.org/images/nicolas-carone/escape-plan-1958.jpg,escape-plan-1958.jpg
Nicolas Carone,Untitled,1958,Abstract Expressionism,abstract,N/A,N/A,N/A,N/A,https://uploads7.wikiart.org/images/nicolas-carone/untitled-1958.jpg,untitled-1958.jpg
Nicolas Carone,Pincio,1959,Abstract Expressionism,abstract,N/A,N/A,N/A,N/A,https://uploads5.wikiart.org/images/nicolas-carone/pincio-1959.jpg,pincio-1959.jpg
Nicolas Carone,Ear of Earth,1960,Abstract Expressionism,abstract,N/A,N/A,N/A,N/A,https://uploads2.wikiart.org/images/nicolas-carone/ear-of-earth-1960.jpg,ear-of-earth-1960.jpg
Nicolas Carone,Shadow Dance,2007,Abstract Expressionism,abstract,N/A,N/A,N/A,N/A,https://uploads2.wikiart.org/images/nicolas-carone/shadow-dance-2007.jpg,shadow-dance-2007.jpg
Robert Goodnough,Abstract in Blue,1950,Abstract Expressionism,abstract,N/A,N/A,N/A,N/A,https://uploads8.wikiart.org/images/robert-goodnough/abstract-in-blue-1950.jpg,abstract-in-blue-1950.jpg
